"","segID","woody_prp","herb_prp","open_prp","woody_mnParea","herb_mnParea","woody_ClmIdx","herb_ClmIdx","woody_ShpInx","herb_ShpInx","woody_lrgPInx","herb_lrgPInx","woody_AggInx","herb_AggInx","woody_EdgDens","herb_EdgDens","woody_Pdens","herb_Pdens","woody_Npatches","herb_Npatches"
"1","1.1",0.354211901519891,0.527499723990726,0.645788098480109,0.00420482202312404,0.00847557605616752,0.827094667261727,0.723128219440313,1.3795552130901,1.37164026421365,9.64080407161949,48.3614660759401,88.8285149750416,86.9316945360852,2684.35786637465,4594.45507770434,8416.42914226348,6229.6832019775,331,245
"2","1.2",0.377512811312596,0.613406567120238,0.622487188687404,0.00356910599913761,0.0136364754546757,0.786883645494735,0.77006451756568,1.36683863861219,1.32323586949545,18.2640045385502,57.6075618102959,86.7310761583353,91.1127914115022,3373.71656349081,3650.97073151402,10573.682641139,4498.89862375384,416,177
"3","1.3",0.607831053798254,0.386199538267676,0.392168946201746,0.00996240064173651,0.00287212093972709,0.790670098428898,0.778538623041514,1.37848903381842,1.36851582199085,52.9440273599312,21.5761222418318,91.7802835635902,86.4168924378535,3380.97535217349,3503.81461153765,6096.24096969345,13462.5321414064,240,530
"4","1.4",0.430111383975792,0.518777075687757,0.569888616024208,0.00467940361634489,0.00915869117292452,0.847174515950142,0.795500478194412,1.33846159563904,1.31445286130591,26.1611053704838,48.5126695136114,91.2932083609113,90.1592190390215,2527.19677682373,3427.15437851716,9195.16346262095,5664.42390100683,362,223
"5","1.5",0.75410032103467,0.24405993873665,0.24589967896533,0.0210306396525848,0.00244059914198553,0.800128575279991,0.792261445838695,1.39804458082933,1.38341619824912,72.6842659102347,12.5653108843849,95.0775134772942,84.3036067426311,2507.51086280592,2572.47860558349,3583.90118897392,10014.5891379839,141,394
"6","1.6",0.790972822786906,0.205908329806613,0.209027177213094,0.0471752757661215,0.00173208576467919,0.766688408022857,0.755961385597486,1.40822750282805,1.39771397322043,77.2971390406134,2.99728268328164,95.1307233144031,80.6129306868587,2582.51820995051,2686.51427845237,1677.3558909387,11868.5636525511,66,467
"7","1.7",0.772489741844076,0.221944173551438,0.227510258155924,0.0292115788047725,0.00183471440389941,0.77612893328602,0.759161637331833,1.37399697219795,1.35721826472274,73.445608896618,3.90188092078166,94.9047842708253,81.2637431025184,2640.61133095243,2800.78706142913,2644.17070413068,12102.1659150596,104,476
"8","1.8",0.700355131932433,0.282670297722003,0.299644868067567,0.0182474713741062,0.00237101081371205,0.785342381923981,0.74913224776435,1.37631863607643,1.3753798423157,33.2015593257563,7.09474917183697,93.5687966326169,82.0043629733338,3016.46555600069,3423.98886258115,3838.32443333036,11921.6831737214,151,469
"9","1.9",0.4828001803244,0.411277635174298,0.5171998196756,0.00603382896010422,0.00544618216900356,0.815430372095112,0.689782877742525,1.36002701911121,1.38825225092185,8.0485751413877,37.4489814594506,90.4605638625728,81.7337149757374,3090.5490433062,5029.2535215915,8007.39374083428,7549.82838421517,315,297
"10","1.10",0.483347746885753,0.461414613502125,0.516652253114247,0.00729489702163285,0.00784441608972217,0.83402884786227,0.763871333886462,1.35583183349548,1.33592822100238,10.6149649402245,43.6334010728474,91.4381480496791,87.2671396214366,2767.55573728853,3959.86268644299,6636.64115723199,5873.80884030878,261,231
"11","1.11",0.855726152912063,0.14270995280719,0.144273847087937,0.0611751312133925,0.00159233908562317,0.817895877748562,0.809314578123803,1.31401624225168,1.30359426240949,81.2754471842262,9.47527334278787,97.3619519945039,83.6632866570095,1528.73716270127,1579.66965268141,1397.84773261745,8997.05631539233,55,354
"12","1.12",0.567398263301199,0.403018985944514,0.432601736698801,0.0108934250919562,0.00413840235535271,0.801590514519497,0.753174703715245,1.39313110747116,1.35450070564793,31.408021522497,31.2881470703965,91.4215190385627,85.2617645716372,3278.09337527812,3977.81852679823,5210.82720475688,9735.35033864334,205,383
"13","1.13",0.393732869782757,0.541397641778415,0.606267130217243,0.00312459697546712,0.0102497891217873,0.792278348980431,0.717761819072441,1.35845676904482,1.34195240425443,7.97106750306333,52.0995263263776,87.4050300519344,87.0603196134119,3322.26865208709,4700.31136625758,12598.7827962019,5283.36052743952,496,208
"14","1.14",0.418313279611436,0.511452698973397,0.581686720388564,0.00386388783671763,0.00893952057584682,0.810253429363228,0.720712331795471,1.36091481157843,1.36699842245464,12.3907238743187,47.4450418815611,88.9774309171225,86.3405559400023,3093.4134637939,4688.20473558973,10846.3279079955,5715.27817166039,427,225
"15","1.15",0.815230191734442,0.183104552312958,0.184769808265558,0.0493033877913159,0.00112436824715439,0.732950796983081,0.726206712955853,1.35091920493875,1.3497593717098,78.5118518993252,2.37678877159573,95.0603855886116,77.6391578841462,2700.89624701996,2753.69342785353,1653.09086845146,16302.019179652,65,641
"16","2.1",0.651863514210483,0.313363554928201,0.346652551191219,0.0192688012412345,0.00406312284237852,0.824113645097784,0.757870251301447,1.40211831873179,1.36347300493871,30.5721766828329,12.4252049272519,93.8469766214283,83.4097211246965,2746.01009331962,3466.89210389199,3374.21359082665,7748.19417152786,135,310
"17","2.2",0.695100869769841,0.263845269664853,0.304663812687236,0.0346945522349216,0.00292610018849082,0.819868509422269,0.723742952687786,1.43190958241322,1.49747410705337,67.0286136171286,4.95561197846326,94.491089676,79.6524519156397,2601.1559886768,3607.46451805911,2000.81220091942,9003.6549041374,80,360
