"","Study_Area","Area_ha","Unique_ID","Transect_ID","Transect_Length_km","Date","Distance","Group_size","Survey_Time","Ground","Med_Veg","High_veg"
"5","La Copita Ranch",1096.698,"9.8.2023_8.3",8,4.84,"9/8/2023",0.000000000349245965480804,3,"Evening",0.483883843927752,0.195489472108572,0.0433090509929149
"39","La Copita Ranch",1096.698,"9.9.2023_1.1",1,2.94,"9/9/2023",7.49761149251249,1,"Morning",0.327084635145456,0.408317711587864,0.0370756092480733
"40","La Copita Ranch",1096.698,"9.9.2023_1.2",1,2.94,"9/9/2023",9.99677418409685,2,"Morning",0.280688256277541,0.391200951248514,0.104007833811289
"41","La Copita Ranch",1096.698,"9.9.2023_1.3",1,2.94,"9/9/2023",14.9951611061764,3,"Morning",0.220998531571219,0.358917880944313,0.246018298881735
"42","La Copita Ranch",1096.698,"9.9.2023_1.4",1,2.94,"9/9/2023",21.6436253141898,3,"Morning",0.380803242446573,0.195007369196758,0.0041451731761238
"74","La Copita Ranch",1096.698,"9.9.2023_10.1",10,1.25,"9/9/2023",12.9861294923606,2,"Morning",0.222941016580593,0.470236477303615,0.10062516988312
"75","La Copita Ranch",1096.698,"9.9.2023_11.1",11,1.25,"9/9/2023",0.00000000023283064365387,1,"Morning",0.250250035719388,0.454422060294328,0.011858836976711
"76","La Copita Ranch",1096.698,"9.9.2023_12.1",12,1.25,"9/9/2023",0.00000341464499141319,1,"Morning",0.162636103151862,0.431518624641834,0.00527220630372493
"43","La Copita Ranch",1096.698,"9.9.2023_2.1",2,4.99,"9/9/2023",0.000000000116415321826935,1,"Morning",0.236365088237643,0.42593627724986,0.0221193004871037
"44","La Copita Ranch",1096.698,"9.9.2023_2.2",2,4.99,"9/9/2023",38.9585150222224,1,"Morning",0.421953675730111,0.245820745216516,0.0182275931520645
"45","La Copita Ranch",1096.698,"9.9.2023_2.3",2,4.99,"9/9/2023",24.9920960882728,1,"Morning",0.286429837404639,0.424905602219311,0.0248901903367496
"46","La Copita Ranch",1096.698,"9.9.2023_2.4",2,4.99,"9/9/2023",12.4959932458254,7,"Morning",0.386470194239786,0.317230408573342,0.0239450770261219
"47","La Copita Ranch",1096.698,"9.9.2023_3.1",3,4.99,"9/9/2023",0.000000000582076609134674,1,"Morning",0.250168367611252,0.390457441848417,0.209397502978812
"48","La Copita Ranch",1096.698,"9.9.2023_3.2",3,4.99,"9/9/2023",79.9741205480051,1,"Morning",0.46404851285013,0.220040427375108,0.0178072961786505
"49","La Copita Ranch",1096.698,"9.9.2023_3.3",3,4.99,"9/9/2023",24.9919471758369,3,"Morning",0.276818071998067,0.438149311427881,0.118506885721189
"50","La Copita Ranch",1096.698,"9.9.2023_3.4",3,4.99,"9/9/2023",14.9952255336766,4,"Morning",0.250028845044421,0.427945079035422,0.0704395984769817
"51","La Copita Ranch",1096.698,"9.9.2023_3.5",3,4.99,"9/9/2023",49.9838181442623,1,"Morning",0.17584313013481,0.483364350233762,0.194680223321683
"52","La Copita Ranch",1096.698,"9.9.2023_4.1",4,4.99,"9/9/2023",0.865746006111005,3,"Morning",0.137111120753243,0.476070638260945,0.269883281988979
"53","La Copita Ranch",1096.698,"9.9.2023_4.2",4,4.99,"9/9/2023",64.9308975968501,1,"Morning",0.358897652071435,0.313026924122926,0.0194905266974889
"54","La Copita Ranch",1096.698,"9.9.2023_4.3",4,4.99,"9/9/2023",49.9837989255826,3,"Morning",0.185787430371912,0.473583525572498,0.0733134529904912
"55","La Copita Ranch",1096.698,"9.9.2023_4.4",4,4.99,"9/9/2023",9.99675948485175,2,"Morning",0.155789366676832,0.451306292568873,0.190759377859103
"56","La Copita Ranch",1096.698,"9.9.2023_5.1",5,4.68,"9/9/2023",59.9805324630267,2,"Morning",0.393782383419689,0.249682275882295,0.0029328380095806
"57","La Copita Ranch",1096.698,"9.9.2023_5.2",5,4.68,"9/9/2023",49.9837763493603,2,"Morning",0.45258883248731,0.209238578680203,0.00883248730964467
"58","La Copita Ranch",1096.698,"9.9.2023_5.3",5,4.68,"9/9/2023",3.88099109657023,1,"Morning",0.302336376295838,0.357496518644592,0.0833978028779205
"59","La Copita Ranch",1096.698,"9.9.2023_5.4",5,4.68,"9/9/2023",70.6753299413188,1,"Morning",0.315758018460721,0.349027159837971,0.18467361710605
"60","La Copita Ranch",1096.698,"9.9.2023_5.5",5,4.68,"9/9/2023",49.9838249661012,3,"Morning",0.360918928508072,0.270267872982083,0.0643072556324286
"61","La Copita Ranch",1096.698,"9.9.2023_5.6",5,4.68,"9/9/2023",19.9935086516798,1,"Morning",0.24168341871474,0.421308605148823,0.0959081771610142
"62","La Copita Ranch",1096.698,"9.9.2023_5.7",5,4.68,"9/9/2023",0.000066132952799452,2,"Morning",0.264582567120265,0.364398675983818,0.0479588083854358
"63","La Copita Ranch",1096.698,"9.9.2023_6.1",6,4.74,"9/9/2023",64.9308968995108,2,"Morning",0.405420666290231,0.213196741147052,0.172380414616439
"64","La Copita Ranch",1096.698,"9.9.2023_6.2",6,4.74,"9/9/2023",4.99840797446466,3,"Morning",0.302984038861901,0.404649548924358,0.0775156141568355
"65","La Copita Ranch",1096.698,"9.9.2023_6.3",6,4.74,"9/9/2023",25.9723551626585,1,"Morning",0.300890092879257,0.290183178534572,0.243421052631579
"66","La Copita Ranch",1096.698,"9.9.2023_6.4",6,4.74,"9/9/2023",0.0000613875229732164,1,"Morning",0.310907588486434,0.395537804710095,0.0935821512188404
"67","La Copita Ranch",1096.698,"9.9.2023_7.1",7,4.79,"9/9/2023",29.9902367629786,1,"Morning",0.32436069986541,0.388680314514415,0.0405185237656726
"68","La Copita Ranch",1096.698,"9.9.2023_7.2",7,4.79,"9/9/2023",19.9934905427421,4,"Morning",0.463877338877339,0.165107415107415,0.211538461538462
"69","La Copita Ranch",1096.698,"9.9.2023_7.3",7,4.79,"9/9/2023",9.99674509738598,1,"Morning",0.349328364003416,0.362916375494992,0.0718223464554701
"70","La Copita Ranch",1096.698,"9.9.2023_7.4",7,4.79,"9/9/2023",0.00000579596995866244,2,"Morning",0.325467416954075,0.25013614086041,0.0342167362497731
