"","Study_Area","Area_ha","Transect_ID","Transect_Length_km","Flight_Path","Date","Female","Fawn","Male_Young","Male_Middle","Male_Mature","Male_Unkown","Unknown","Direction_clock","Detection_Distance","Survey_Time","Degree","Perpendicular_Distance","Group_size","Males"
"47","La Copita Ranch",1096.698,4,4.99,"N2S","9/9/2023",2,1,0,0,0,0,0,10,1,"Morning",120,1,3,0
"48","La Copita Ranch",1096.698,4,4.99,"N2S","9/9/2023",1,0,0,0,0,0,0,2,75,"Morning",240,65,1,0
"49","La Copita Ranch",1096.698,5,4.68,"S2N","9/9/2023",1,1,0,0,0,0,0,3,60,"Morning",90,60,2,0
"50","La Copita Ranch",1096.698,5,4.68,"S2N","9/9/2023",2,0,0,0,0,0,0,3,50,"Morning",90,50,2,0
"51","La Copita Ranch",1096.698,5,4.68,"S2N","9/9/2023",0,1,0,0,0,0,0,12.5,15,"Morning",15,4,1,0
"52","La Copita Ranch",1096.698,5,4.68,"S2N","9/9/2023",1,0,0,0,0,0,0,2,80,"Morning",60,71,1,0
"53","La Copita Ranch",1096.698,6,4.74,"N2S","9/9/2023",2,0,0,0,0,0,0,2,75,"Morning",240,65,2,0
"54","La Copita Ranch",1096.698,6,4.74,"N2S","9/9/2023",2,1,0,0,0,0,0,1,10,"Morning",210,5,3,0
"55","La Copita Ranch",1096.698,7,4.79,"S2N","9/9/2023",0,0,0,0,1,0,0,3,30,"Morning",90,30,1,1
"56","La Copita Ranch",1096.698,7,4.79,"S2N","9/9/2023",2,2,0,0,0,0,0,3,20,"Morning",90,20,4,0
"57","La Copita Ranch",1096.698,10,1.25,"N2S","9/9/2023",1,1,0,0,0,0,0,2,15,"Morning",240,13,2,0
"58","La Copita Ranch",1096.698,11,1.25,"S2N","9/9/2023",1,0,0,0,0,0,0,12,0,"Morning",0,0,1,0
"59","La Copita Ranch",1096.698,12,1.25,"N2S","9/9/2023",0,0,1,0,0,0,0,12,5,"Morning",180,0,1,1
"60","La Copita Ranch",1096.698,2,4.99,"N2S","9/9/2023",0,0,0,0,0,0,1,11,50,"Morning",150,25,1,0
"61","La Copita Ranch",1096.698,2,4.99,"N2S","9/9/2023",5,2,0,0,0,0,0,1,25,"Morning",210,12,7,0
"62","La Copita Ranch",1096.698,3,4.99,"S2N","9/9/2023",3,0,0,0,0,0,0,11,50,"Morning",330,25,3,0
"63","La Copita Ranch",1096.698,3,4.99,"S2N","9/9/2023",2,0,2,0,0,0,0,11,30,"Morning",330,15,4,2
"64","La Copita Ranch",1096.698,3,4.99,"S2N","9/9/2023",0,0,0,0,0,0,1,9,50,"Morning",270,50,1,0
"65","La Copita Ranch",1096.698,4,4.99,"N2S","9/9/2023",2,0,0,1,0,0,0,9,50,"Morning",90,50,3,1
"66","La Copita Ranch",1096.698,4,4.99,"N2S","9/9/2023",2,0,0,0,0,0,0,9,10,"Morning",90,10,2,0
"67","La Copita Ranch",1096.698,5,4.68,"S2N","9/9/2023",3,0,0,0,0,0,0,11,100,"Morning",330,50,3,0
"68","La Copita Ranch",1096.698,5,4.68,"S2N","9/9/2023",0,0,0,1,0,0,0,9,20,"Morning",270,20,1,1
"69","La Copita Ranch",1096.698,5,4.68,"S2N","9/9/2023",1,1,0,0,0,0,0,12,15,"Morning",0,0,2,0
"70","La Copita Ranch",1096.698,6,4.74,"N2S","9/9/2023",1,0,0,0,0,0,0,10,30,"Morning",120,26,1,0
"71","La Copita Ranch",1096.698,6,4.74,"N2S","9/9/2023",0,0,0,1,0,0,0,12,15,"Morning",180,0,1,1
"72","La Copita Ranch",1096.698,7,4.79,"S2N","9/9/2023",0,0,0,1,0,0,0,9,10,"Morning",270,10,1,1
"73","La Copita Ranch",1096.698,7,4.79,"S2N","9/9/2023",1,1,0,0,0,0,0,12,10,"Morning",0,0,2,0
"74","La Copita Ranch",1096.698,7,4.79,"S2N","9/9/2023",6,0,0,0,0,0,0,11,60,"Morning",330,30,6,0
"75","La Copita Ranch",1096.698,7,4.79,"S2N","9/9/2023",1,1,0,0,0,0,0,12.5,20,"Morning",15,5,2,0
"76","La Copita Ranch",1096.698,7,4.79,"S2N","9/9/2023",2,0,0,0,0,0,0,9,50,"Morning",270,50,2,0
"77","La Copita Ranch",1096.698,8,4.84,"N2S","9/9/2023",1,0,0,0,0,0,0,12.5,20,"Morning",195,5,1,0
"78","La Copita Ranch",1096.698,8,4.84,"N2S","9/9/2023",3,2,0,1,0,0,0,11.5,20,"Morning",165,5,6,1
"79","La Copita Ranch",1096.698,8,4.84,"N2S","9/9/2023",1,0,0,0,0,0,0,10,40,"Morning",120,35,1,0
"80","La Copita Ranch",1096.698,5,4.68,"S2N","2/9/2024",0,0,0,1,0,0,0,9,60,"Evening",270,60,1,1
"81","La Copita Ranch",1096.698,1,2.94,"S2N","2/9/2024",2,0,0,0,0,0,0,8,70,"Evening",240,61,2,0
"82","La Copita Ranch",1096.698,2,4.99,"N2S","2/9/2024",1,0,0,0,0,0,0,8,70,"Evening",60,61,1,0
"83","La Copita Ranch",1096.698,2,4.99,"N2S","2/9/2024",1,0,0,0,0,0,0,4,100,"Evening",300,87,1,0
"84","La Copita Ranch",1096.698,2,4.99,"N2S","2/9/2024",1,0,0,0,0,0,0,11,50,"Evening",150,25,1,0
"85","La Copita Ranch",1096.698,2,4.99,"N2S","2/9/2024",1,0,0,0,0,0,0,3,50,"Evening",270,50,1,0
"86","La Copita Ranch",1096.698,2,4.99,"N2S","2/9/2024",2,0,0,0,0,0,0,10,60,"Evening",120,52,2,0
"87","La Copita Ranch",1096.698,2,4.99,"N2S","2/9/2024",3,0,0,0,0,0,1,9,15,"Evening",90,15,4,0
"88","La Copita Ranch",1096.698,2,4.99,"N2S","2/9/2024",0,0,0,0,0,0,1,3,60,"Evening",270,60,1,0
"89","La Copita Ranch",1096.698,2,4.99,"N2S","2/9/2024",0,0,1,0,0,0,0,3,40,"Evening",270,40,1,1
"90","La Copita Ranch",1096.698,3,4.99,"S2N","2/9/2024",0,0,0,1,0,0,0,2,10,"Evening",60,9,1,1
"91","La Copita Ranch",1096.698,3,4.99,"S2N","2/9/2024",2,0,0,0,0,0,0,8,60,"Evening",240,52,2,0
"92","La Copita Ranch",1096.698,3,4.99,"S2N","2/9/2024",1,1,0,0,0,0,0,4,60,"Evening",120,52,2,0
"93","La Copita Ranch",1096.698,4,4.99,"N2S","2/9/2024",2,1,0,0,0,0,0,10,0,"Evening",120,0,3,0
"94","La Copita Ranch",1096.698,5,4.68,"S2N","2/9/2024",2,0,0,0,0,0,0,2,10,"Evening",60,9,2,0
"95","La Copita Ranch",1096.698,5,4.68,"S2N","2/9/2024",1,0,0,0,0,0,0,1,20,"Evening",30,10,1,0
"96","La Copita Ranch",1096.698,6,4.74,"N2S","2/9/2024",0,0,2,0,0,0,0,9,20,"Evening",90,20,2,2
"97","La Copita Ranch",1096.698,6,4.74,"N2S","2/9/2024",1,0,0,0,0,0,0,2,80,"Evening",240,69,1,0
"98","La Copita Ranch",1096.698,6,4.74,"N2S","2/9/2024",3,1,0,0,0,0,0,12,15,"Evening",180,0,4,0
"99","La Copita Ranch",1096.698,6,4.74,"N2S","2/9/2024",3,0,0,0,0,0,0,1,10,"Evening",210,5,3,0
"100","La Copita Ranch",1096.698,6,4.74,"N2S","2/9/2024",0,0,1,0,0,0,0,1,10,"Evening",210,5,1,1
"101","La Copita Ranch",1096.698,6,4.74,"N2S","2/9/2024",2,0,0,0,0,0,0,12,0,"Evening",180,0,2,0
"102","La Copita Ranch",1096.698,7,4.79,"S2N","2/9/2024",4,0,0,0,0,0,0,12,15,"Evening",0,0,4,0
"103","La Copita Ranch",1096.698,7,4.79,"S2N","2/9/2024",2,0,0,0,0,0,0,2,80,"Evening",60,69,2,0
"104","La Copita Ranch",1096.698,8,4.84,"N2S","2/9/2024",4,0,0,0,0,0,0,12,80,"Evening",180,0,4,0
"105","La Copita Ranch",1096.698,8,4.84,"N2S","2/9/2024",3,0,0,0,0,0,0,2,40,"Evening",240,35,3,0
"106","La Copita Ranch",1096.698,8,4.84,"N2S","2/9/2024",1,0,0,0,0,0,0,12,15,"Evening",180,0,1,0
"107","La Copita Ranch",1096.698,8,4.84,"N2S","2/9/2024",4,0,0,0,0,0,0,2,40,"Evening",240,35,4,0
"108","La Copita Ranch",1096.698,8,4.84,"N2S","2/9/2024",0,0,0,1,0,0,0,2,10,"Evening",240,9,1,1
"109","La Copita Ranch",1096.698,9,1.25,"S2N","2/9/2024",2,0,0,0,0,0,0,10,80,"Evening",300,69,2,0
"110","La Copita Ranch",1096.698,9,1.25,"S2N","2/9/2024",3,0,1,0,0,0,0,3,50,"Evening",90,50,4,1
"111","La Copita Ranch",1096.698,1,2.94,"S2N","2/10/2024",0,1,0,0,0,0,0,2,30,"Morning",60,26,1,0
"112","La Copita Ranch",1096.698,1,2.94,"S2N","2/10/2024",1,0,0,0,0,0,0,6,0,"Morning",180,0,1,0
"113","La Copita Ranch",1096.698,1,2.94,"S2N","2/10/2024",1,0,0,0,0,0,0,10,60,"Morning",300,52,1,0
"114","La Copita Ranch",1096.698,1,2.94,"S2N","2/10/2024",0,2,0,0,0,0,0,2,15,"Morning",60,13,2,0
"115","La Copita Ranch",1096.698,2,4.99,"N2S","2/10/2024",0,0,1,0,0,0,0,11,50,"Morning",150,25,1,1
"116","La Copita Ranch",1096.698,2,4.99,"N2S","2/10/2024",0,0,0,0,0,0,1,9,60,"Morning",90,60,1,0
"117","La Copita Ranch",1096.698,2,4.99,"N2S","2/10/2024",0,0,1,0,0,0,0,2,30,"Morning",240,26,1,1
"118","La Copita Ranch",1096.698,2,4.99,"N2S","2/10/2024",0,0,1,0,0,0,0,10,9,"Morning",120,8,1,1
"119","La Copita Ranch",1096.698,2,4.99,"N2S","2/10/2024",1,1,0,0,0,0,0,12,10,"Morning",180,0,2,0
"120","La Copita Ranch",1096.698,2,4.99,"N2S","2/10/2024",1,0,0,0,0,0,0,9,10,"Morning",90,10,1,0
"121","La Copita Ranch",1096.698,3,4.99,"S2N","2/10/2024",4,2,0,0,0,0,0,12,60,"Morning",0,0,6,0
"122","La Copita Ranch",1096.698,3,4.99,"S2N","2/10/2024",0,0,1,0,0,0,0,1,50,"Morning",30,25,1,1
"123","La Copita Ranch",1096.698,3,4.99,"S2N","2/10/2024",2,1,0,0,0,0,0,9,50,"Morning",270,50,3,0
"124","La Copita Ranch",1096.698,3,4.99,"S2N","2/10/2024",1,0,1,0,0,0,0,10,60,"Morning",300,52,2,1
"125","La Copita Ranch",1096.698,4,4.99,"N2S","2/10/2024",0,0,0,0,0,0,1,7,60,"Morning",30,30,1,0
"126","La Copita Ranch",1096.698,4,4.99,"N2S","2/10/2024",1,0,0,0,0,0,0,10,50,"Morning",120,43,1,0
"127","La Copita Ranch",1096.698,4,4.99,"N2S","2/10/2024",1,0,0,0,0,0,0,11,45,"Morning",150,22,1,0
"128","La Copita Ranch",1096.698,4,4.99,"N2S","2/10/2024",1,0,0,0,0,0,0,8,50,"Morning",60,43,1,0
"129","La Copita Ranch",1096.698,4,4.99,"N2S","2/10/2024",1,1,0,0,0,0,0,12,55,"Morning",180,0,2,0
"130","La Copita Ranch",1096.698,4,4.99,"N2S","2/10/2024",1,0,0,0,0,0,0,3,100,"Morning",270,100,1,0
"131","La Copita Ranch",1096.698,4,4.99,"N2S","2/10/2024",0,0,0,1,0,0,0,8,50,"Morning",60,43,1,1
"132","La Copita Ranch",1096.698,4,4.99,"N2S","2/10/2024",0,0,1,0,0,0,0,3,100,"Morning",270,100,1,1
"133","La Copita Ranch",1096.698,5,4.68,"S2N","2/10/2024",0,0,1,0,0,0,0,2,40,"Morning",60,35,1,1
"134","La Copita Ranch",1096.698,5,4.68,"S2N","2/10/2024",1,0,0,0,0,0,0,7,60,"Morning",210,30,1,0
"135","La Copita Ranch",1096.698,5,4.68,"S2N","2/10/2024",0,1,0,0,0,0,0,3,80,"Morning",90,80,1,0
"136","La Copita Ranch",1096.698,5,4.68,"S2N","2/10/2024",0,0,1,0,0,0,0,7,60,"Morning",210,30,1,1
"137","La Copita Ranch",1096.698,5,4.68,"S2N","2/10/2024",0,1,0,0,0,0,0,3,75,"Morning",90,75,1,0
