"","SiteID","Lat","Long","woody_prp","herb_prp","open_prp","woody_mnParea","herb_mnParea","woody_ClmIdx","herb_ClmIdx","woody_ShpInx","herb_ShpInx","woody_lrgPInx","herb_lrgPInx","woody_AggInx","herb_AggInx","woody_EdgDens","herb_EdgDens","woody_Pdens","herb_Pdens","woody_Npatches","herb_Npatches"
"11","Site 11",27.67144,-98.2052,0.620035116173064,0.348299066856749,0.379964883826936,0.012866645990121,0.00416446244157717,0.832949340516056,0.782826627016694,1.33388028238678,1.3108516828539,25.4182365537039,12.3933107014067,93.6488066199685,85.8508826262001,2634.26777611464,3288.69094383542,4817.14000729403,8368.12612975571,1674,2908
"12","Site 12",27.67141,-98.19851,0.591191514016285,0.385639407991328,0.408808485983715,0.00984709598650054,0.00470805373034372,0.828648733452638,0.795050016997163,1.33898127271482,1.31438206492151,39.5796557353953,24.4658677473625,92.9981827813269,87.4045986480265,2757.59406630667,3250.18498531864,6005.59186409935,8186.82743333141,2087,2845
"13","Site 13",27.6666,-98.21196,0.492133620465877,0.484079303405926,0.506684761277809,0.00554374363101779,0.00826574205579651,0.800712576714885,0.775112059290168,1.36676695167463,1.34495055045254,23.7940436676156,20.2023843562362,89.8791787570474,88.3967764060357,3325.00414260182,3750.28131629116,8877.56646944741,5856.02844905202,3085,2035
"14","Site 14",27.66656,-98.20523,0.578795335846079,0.388781941459261,0.421204664153921,0.00974030295302248,0.00475162069272838,0.830271024373458,0.78304758667213,1.32738779352869,1.30998103127036,30.9874402260842,21.6712040973621,92.8461986044381,86.7443591173042,2771.52750149587,3437.70794488159,5939.40661595643,8186.82743333141,2064,2845
"15","Site 15",27.66653,-98.19855,0.535032660600756,0.438174329006621,0.464804321935609,0.00815778376376303,0.00433938015983799,0.801962177233361,0.770008596039359,1.36062456965214,1.34560138972603,35.3191634836821,28.5753800157259,90.7913106877068,87.0785911580951,3290.18898287952,3779.38615717312,6558.19671389567,10097.7236810267,2279,3509
"16","Site 16",27.66173,-98.212,0.698683091593819,0.261040256923296,0.300772825772073,0.0219059689201421,0.00209892335444779,0.788825126375573,0.718123185895408,1.37729913902793,1.37820110057722,33.7323810885343,12.4688956156544,93.6321225787817,79.1740112837165,2972.01821992392,3629.06918232218,3188.42220694187,12442.9039917118,1108,4324
"17","Site 17",27.66169,-98.20527,0.400967517856716,0.513086618702646,0.59902209882222,0.00459288361820645,0.0125376210608003,0.836648120777363,0.75314472082331,1.31542431119066,1.31114077130205,4.99498077777743,41.5144065663237,90.2151735452077,87.9792409793502,2622.51331347938,4116.55632885412,8730.83318559078,4092.03849370801,3034,1422
"18","Site 18",27.65685,-98.21203,0.597533966368493,0.334980816854172,0.402466033631507,0.0144079953764196,0.00407640782561517,0.825351945137514,0.725708107349203,1.34785168905038,1.35204653359621,33.1804620325288,9.85672847819331,92.969569961829,81.7601432350554,2805.58712127721,4079.26711131402,4146.66685997187,8218.5153033169,1441,2856
"19","Site 19",27.65682,-98.2053,0.575616740751355,0.383583206916924,0.424383259248645,0.00892029317051504,0.0043730025775304,0.813435383389045,0.763012438472873,1.33310733099764,1.31902444681806,21.004950787371,14.4083555284828,92.080433965614,85.3940393768931,3045.35397926427,3739.57610517228,6451.64293479756,8773.88907591336,2242,3049
"20","Site 20",27.65204,-98.22436,0.544559688249874,0.387585026773505,0.455440311750126,0.0107446207943516,0.00403661758097403,0.828833457344627,0.760782835677917,1.35785418948548,1.33400352208283,15.1368795097719,25.7701253023781,92.2034385919454,85.3512153335475,2836.63026632635,3790.09897200385,5067.69265596477,9603.00419815698,1761,3337
"21","Site 21",27.65201,-98.21848,0.545137381863642,0.377889940835775,0.454862618136358,0.00813067005165036,0.00493481429759281,0.818272591242708,0.709435484306107,1.33723126429933,1.33927679588184,19.3320176733537,30.0668707493564,91.7342122264203,81.9233800434423,3006.93906244251,4560.14295586402,6704.91591202802,7657.41684201999,2330,2661
"22","Site 22",27.65198,-98.21274,0.589728600472234,0.340843251145801,0.409999356233426,0.0129132938375078,0.00404117528590926,0.809684419850567,0.71204849318805,1.36614481610247,1.37094262732232,27.8457710205824,21.3161406082305,92.1919098550324,81.019653214389,3072.76614069668,4318.60673752632,4566.83889368332,8434.40755978942,1587,2931
"23","Site 23",27.65195,-98.20534,0.600310459043288,0.37022915823028,0.399689540956712,0.00920910257997837,0.00386395700566154,0.769440796820194,0.727589673060117,1.38882279599629,1.35870432257974,37.2512110525901,11.7458633592879,90.7833739022837,82.845596354444,3691.67287079705,4239.0983226277,6517.9971960102,9582.75084446532,2265,3330
"24","Site 24",27.64717,-98.22439,0.661784098200991,0.27285309930785,0.326389335947153,0.0251395814881254,0.00204953693323374,0.835805937459156,0.769388574053135,1.34050047650373,1.36818262138748,62.1920620910564,5.93975708904663,94.437359110354,83.2402659069326,2472.23975569462,3048.68016454042,2630.17690537297,13332.1768080886,914,4633
"25","Site 25",27.64714,-98.21851,0.642041838119475,0.290295952727307,0.346130643665773,0.0175533858671645,0.00258326982069586,0.821748737971819,0.741008674656496,1.35482775494917,1.3647045881885,27.827186865804,5.25351264947472,93.6188139647416,81.6190443840984,2733.90806188884,3564.94760135376,3657.48088736188,11237.1855744675,1271,3905
"26","Site 26",27.64711,-98.21277,0.678080036881633,0.26250128493865,0.309537827036355,0.0285803319381462,0.00204690685831297,0.83398105132986,0.766591210200211,1.35281680374618,1.35204321838104,28.188789252534,6.01602837702323,94.649146033675,82.7909595590414,2431.20870948143,3015.62840019125,2371.19775802203,12834.3956320124,824,4460
"27","Site 27",27.64708,-98.20537,0.688872414036574,0.276875122003896,0.298072649945384,0.0181456660665406,0.0022646881458846,0.783317422405145,0.745135021299664,1.36997750900375,1.35775876558561,35.675156015614,6.57845119798444,93.2556400658714,81.5725814762696,3100.31815014683,3407.65301476424,3795.64301314411,12230.0855237775,1319,4250
